variable	Df	Variance	F	Pr(>F)
adiponectin	1	0.001995037008310387	5.075673749484633	0.001
age_years	1	4.969686592717262e-4	1.264362900374644	0.265
age_range	1	4.7616815490419354e-4	1.211443293593144	0.302
BMI	1	0.0014114772819988778	3.5910101709356463	0.007
BMI_class	2	0.0015760375397456889	2.00483808956114	0.035
Body_Fat_Percentage	1	0.002295879920250277	5.841063295889604	0.001
Calorie_intake	1	8.805694087996637e-4	2.2403008135818476	0.061
Cardiometabolic_status	1	4.7805514129245497e-4	1.2162440703389572	0.273
city	4	0.016899081725208327	10.748450422942064	0.001
diastolic_bp	1	0.0010521336458791074	2.6767859969980603	0.026
fiber	1	0.0014159124891795945	3.6022940040509805	0.005
glucose	1	3.6924944850167535e-4	0.9394260482209792	0.442
Hemoglobin_a1c	1	2.472705415669102e-4	0.6290933910619229	0.656
CRP	1	9.16993700481282e-5	0.2332969681558656	0.959
insulin	1	2.1532269298375067e-4	0.5478132665676988	0.727
Total_Cholesterol	1	3.4052387831798314e-4	0.8663438838736492	0.465
HDL	1	1.0649377456295461e-4	0.2709361549591004	0.94
LDL	1	3.831800170341938e-4	0.974867506560533	0.404
VLDL	1	6.078978389474979e-4	1.5465833920180658	0.183
Triglycerides	1	1.8674947675108994e-4	0.4751187135512161	0.763
medication	1	5.709551782080574e-4	1.4525957153132125	0.185
per_carbohydrates	1	7.467752827950772e-4	1.8999084647843432	0.097
per_total_protein	1	2.2852386023938798e-4	0.5813990185226168	0.702
per_total_fat	1	1.462245501210116e-4	0.37201721446159225	0.885
per_animal_protein	1	7.833710924024101e-4	1.993013700121501	0.087
per_monoinsaturated_fat	1	1.687739547649933e-4	0.42938628618367336	0.829
per_polyunsaturated_fat	1	2.719267972689024e-4	0.6918226082673575	0.607
per_saturated_fat	1	4.1375991722367167e-4	1.0526673649125564	0.36
sex	1	5.928350324975531e-4	1.5082613503852131	0.164
smoker	1	5.700039611891694e-4	1.4501756763702145	0.227
stool_consistency	3	0.0035411149940291833	3.003042774683881	0.001
systolic_bp	1	6.574479317826357e-4	1.6726462692680637	0.133
MET_mins_per_week	1	1.6770718877267415e-4	0.42667227329995105	0.807
waist_circumference	1	7.175204440535293e-4	1.8254797617440743	0.096
Residual	399	0.15683036491395247	NA	NA
