PD	SR	SampleID
13.604779411764707	210	SRR6267379
13.082605698529411	139	SRR6267380
12.893841911764707	148	SRR6267381
14.492417279411764	217	SRR6267382
14.463809742647058	274	SRR6267383
14.082146139705882	185	SRR6267384
14.307789522058824	201	SRR6267385
12.148207720588236	135	SRR6267386
13.980238970588236	207	SRR6267388
14.207720588235293	241	SRR6267389
14.520335477941176	256	SRR6267390
14.48540900735294	311	SRR6267392
14.033777573529411	149	SRR6267393
14.119715073529411	256	SRR6267394
14.053079044117647	240	SRR6267395
12.496897977941176	141	SRR6267396
12.380629595588236	131	SRR6267397
15.516888786764707	316	SRR6267398
13.446691176470589	172	SRR6267399
12.581801470588236	128	SRR6267403
14.833984375	205	SRR6267404
12.588235294117647	141	SRR6267405
14.376493566176471	215	SRR6267407
13.979090073529411	171	SRR6267408
14.098575367647058	268	SRR6267410
13.21771599264706	187	SRR6267411
13.843290441176471	172	SRR6267412
13.679917279411764	170	SRR6267413
13.900275735294118	188	SRR6267415
14.036534926470589	229	SRR6267416
13.807215073529411	221	SRR6267418
13.530560661764707	170	SRR6267419
13.936465992647058	175	SRR6267420
13.448069852941176	230	SRR6267421
13.728285845588236	228	SRR6267422
11.919462316176471	127	SRR6267423
14.110064338235293	264	SRR6267424
13.406594669117647	194	SRR6267425
13.533662683823529	218	SRR6267426
13.593520220588236	187	SRR6267427
14.109489889705882	234	SRR6267428
12.438189338235293	138	SRR6267429
14.854779411764707	244	SRR6267430
14.292853860294118	227	SRR6267431
14.628102022058824	215	SRR6267432
14.665211397058824	242	SRR6267434
13.513327205882353	173	SRR6267435
15.470818014705882	295	SRR6267436
12.023782169117647	175	SRR6267437
13.986902573529411	290	SRR6267438
13.212890625	167	SRR6267439
14.341796875	200	SRR6267440
15.258616727941176	320	SRR6267441
14.279871323529411	203	SRR6267442
14.465303308823529	209	SRR6267443
14.951631433823529	213	SRR6267446
12.645909926470589	127	SRR6267447
13.38763786764706	195	SRR6267448
10.109949448529411	92	SRR6267450
13.180376838235293	155	SRR6267451
12.690487132352942	173	SRR6267452
14.132123161764707	217	SRR6267454
12.053079044117647	151	SRR6267457
14.763327205882353	267	SRR6267458
13.506663602941176	159	SRR6267459
11.128676470588236	107	SRR6267460
12.98931525735294	184	SRR6267461
13.509191176470589	208	SRR6267462
11.988396139705882	110	SRR6267465
14.216681985294118	205	SRR6267466
12.959673713235293	155	SRR6267467
13.316750919117647	176	SRR6267468
12.217486213235293	148	SRR6267469
12.564108455882353	145	SRR6267470
13.766773897058824	294	SRR6267471
14.339039522058824	242	SRR6267472
14.169462316176471	190	SRR6267475
14.377757352941176	216	SRR6267476
14.762063419117647	250	SRR6267477
13.318244485294118	188	SRR6267478
13.507008272058824	174	SRR6267480
13.041704963235293	163	SRR6267481
13.253561580882353	196	SRR6267483
14.649126838235293	256	SRR6267486
15.89165900735294	302	SRR6267487
14.724609375	203	SRR6267488
13.033777573529411	218	SRR6267489
10.384650735294118	104	SRR6267490
12.856502757352942	129	SRR6267491
14.601217830882353	204	SRR6267492
14.422794117647058	212	SRR6267493
14.528952205882353	253	SRR6267494
11.820772058823529	175	SRR6267495
13.672794117647058	187	SRR6267496
12.104319852941176	106	SRR6267497
14.894301470588236	242	SRR6267498
16.18210018382353	333	SRR6267500
14.342830882352942	203	SRR6267501
12.639016544117647	224	SRR6267504
13.238625919117647	162	SRR6267505
13.870978860294118	163	SRR6267506
11.978860294117647	125	SRR6267509
13.535615808823529	172	SRR6267510
14.816865808823529	257	SRR6267511
13.433134191176471	170	SRR6267514
14.324678308823529	200	SRR6267515
14.665326286764707	212	SRR6267516
15.103056066176471	258	SRR6267518
11.939568014705882	152	SRR6267519
11.483226102941176	91	SRR6267521
10.951401654411764	89	SRR6267522
14.973575367647058	288	SRR6267523
13.687844669117647	187	SRR6267524
12.595818014705882	111	SRR6267526
13.527918198529411	157	SRR6267527
14.174517463235293	223	SRR6267528
11.820197610294118	151	SRR6267529
12.418428308823529	137	SRR6267530
15.180721507352942	284	SRR6267531
14.262637867647058	215	SRR6267532
14.688993566176471	241	SRR6267533
14.139246323529411	215	SRR6267534
14.078239889705882	214	SRR6267535
13.749655330882353	171	SRR6267536
14.839958639705882	228	SRR6267537
14.370519301470589	258	SRR6267538
15.417164522058822	321	SRR6267539
13.852941176470589	223	SRR6267541
15.238051470588236	295	SRR6267542
14.792624080882353	267	SRR6267544
15.437959558823529	306	SRR6267546
14.521599264705882	246	SRR6267547
15.138671875	233	SRR6267549
8.427849264705882	53	SRR6267550
13.874310661764707	177	SRR6267552
12.018152573529411	149	SRR6267556
13.151424632352942	169	SRR6267558
13.135340073529411	160	SRR6267559
12.032054227941176	97	SRR6267561
15.187614889705882	248	SRR6267563
14.569623161764707	280	SRR6267564
13.576286764705882	199	SRR6267565
12.098115808823529	119	SRR6267566
13.366957720588236	149	SRR6267568
13.825252757352942	246	SRR6267569
15.332720588235293	330	SRR6267570
14.292509191176471	256	SRR6267571
14.350988051470589	225	SRR6267573
12.548713235294118	140	SRR6267574
12.504940257352942	134	SRR6267575
14.504021139705882	211	SRR6267576
13.734604779411764	199	SRR6267578
11.988970588235293	118	SRR6267579
14.277573529411764	180	SRR6267580
13.369715073529411	139	SRR6267581
13.789177389705882	160	SRR6267582
14.606272977941176	241	SRR6267583
12.361443014705882	138	SRR6267584
14.805147058823529	251	SRR6267585
13.967486213235293	184	SRR6267586
14.028837316176471	198	SRR6267587
14.659007352941176	245	SRR6267588
14.615693933823529	200	SRR6267589
13.356962316176471	151	SRR6267593
13.774471507352942	203	SRR6267594
14.614889705882353	219	SRR6267595
13.829044117647058	223	SRR6267596
14.13671875	168	SRR6267597
15.269990808823529	241	SRR6267598
13.262293198529411	172	SRR6267599
13.76665900735294	190	SRR6267601
15.221162683823529	285	SRR6267602
13.166590073529411	148	SRR6267603
14.488166360294118	250	SRR6267604
13.930491727941176	254	SRR6267605
14.577550551470589	273	SRR6267608
11.190257352941176	94	SRR6267609
13.895220588235293	229	SRR6267610
14.908432904411764	269	SRR6267612
11.434742647058824	110	SRR6267613
14.196461397058824	208	SRR6267614
14.565372242647058	272	SRR6267615
13.968979779411764	195	SRR6267616
14.486557904411764	231	SRR6267618
11.980813419117647	148	SRR6267619
14.832835477941176	304	SRR6267620
13.539292279411764	215	SRR6267621
12.793772977941176	235	SRR6267622
13.140739889705882	143	SRR6267623
10.24609375	105	SRR6267624
15.021943933823529	230	SRR6267627
15.584788602941176	311	SRR6267630
13.353975183823529	215	SRR6267631
8.611787683823529	99	SRR6267632
8.038488051470589	65	SRR6267634
13.713350183823529	195	SRR6267635
14.760569852941176	229	SRR6267636
13.460707720588236	173	SRR6267637
15.762293198529411	308	SRR6267638
15.561580882352942	300	SRR6267639
15.318474264705882	235	SRR6267640
12.746553308823529	129	SRR6267641
15.084673713235293	337	SRR6267642
13.738396139705882	163	SRR6267648
14.298023897058824	218	SRR6267649
14.02630974264706	163	SRR6267650
12.820657169117647	156	SRR6267651
13.223460477941176	197	SRR6267652
14.71484375	232	SRR6267653
12.120634191176471	143	SRR6267654
15.636488970588236	301	SRR6267655
15.213465073529411	287	SRR6267656
13.257123161764707	198	SRR6267657
14.556870404411764	223	SRR6267658
12.845588235294118	180	SRR6267659
13.669806985294118	207	SRR6267660
14.76861213235294	254	SRR6267661
13.494600183823529	199	SRR6267662
14.041819852941176	181	SRR6267663
14.169806985294118	234	SRR6267664
9.78125	129	SRR6267666
13.784122242647058	202	SRR6267667
13.758501838235293	206	SRR6267668
13.520105698529411	194	SRR6267669
14.00390625	213	SRR6267670
13.557789522058824	188	SRR6267671
13.081112132352942	175	SRR6267672
13.035960477941176	169	SRR6267673
14.408432904411764	199	SRR6267675
12.870519301470589	147	SRR6267676
12.236443014705882	93	SRR6267677
14.864545036764707	238	SRR6267679
14.446461397058824	219	SRR6267681
14.723805147058824	205	SRR6267683
13.904756433823529	224	SRR6267685
14.500689338235293	220	SRR6267687
13.202550551470589	186	SRR6267688
13.837545955882353	211	SRR6267689
14.372242647058824	214	SRR6267690
12.445542279411764	157	SRR6267691
13.602251838235293	205	SRR6267692
13.711052389705882	188	SRR6267693
14.456456801470589	191	SRR6267694
13.265050551470589	236	SRR6267696
14.395335477941176	210	SRR6267697
13.778607536764707	195	SRR6267699
13.083869485294118	160	SRR6267700
13.37890625	188	SRR6267701
14.666704963235293	228	SRR6267703
14.744944852941176	223	SRR6267704
15.635684742647058	330	SRR6267705
13.774816176470589	165	SRR6267706
13.052849264705882	136	SRR6267707
14.474954044117647	228	SRR6267708
15.456227022058824	304	SRR6267709
13.818244485294118	180	SRR6267711
13.689453125	230	SRR6267712
14.432444852941176	231	SRR6267715
13.202435661764707	190	SRR6267716
14.315027573529411	230	SRR6267717
13.461626838235293	140	SRR6267718
14.93359375	289	SRR6267719
15.150160845588236	281	SRR6267720
13.568474264705882	177	SRR6267721
13.725643382352942	198	SRR6267722
13.569967830882353	212	SRR6267724
13.30078125	167	SRR6267726
15.930721507352942	272	SRR6267728
11.554227941176471	135	SRR6267729
14.865579044117647	226	SRR6267731
14.916130514705882	215	SRR6267732
12.918658088235293	169	SRR6267733
14.735064338235293	240	SRR6267734
12.162339154411764	115	SRR6267737
12.132697610294118	125	SRR6267738
15.372931985294118	315	SRR6267739
14.140969669117647	195	SRR6267740
14.229204963235293	227	SRR6267741
14.069623161764707	222	SRR6267742
13.644646139705882	186	SRR6267743
12.840762867647058	156	SRR6267744
11.652458639705882	135	SRR6267745
14.498276654411764	210	SRR6267746
13.996438419117647	222	SRR6267748
15.157743566176471	271	SRR6267750
13.988166360294118	179	SRR6267753
14.638327205882353	223	SRR6267754
13.979204963235293	220	SRR6267755
14.233340992647058	164	SRR6267756
14.08984375	175	SRR6267758
15.169921875	311	SRR6267759
13.632927389705882	164	SRR6267760
12.362477022058824	142	SRR6267761
13.615693933823529	145	SRR6267764
12.645795036764707	163	SRR6267765
13.799862132352942	240	SRR6267766
13.38671875	163	SRR6267767
14.660615808823529	282	SRR6267768
13.426930147058824	185	SRR6267769
14.235409007352942	239	SRR6267770
14.845818014705882	247	SRR6267772
13.307559742647058	169	SRR6267774
12.456686580882353	127	SRR6267776
15.413832720588236	316	SRR6267777
15.567784926470589	312	SRR6267778
14.501723345588236	239	SRR6267779
13.063763786764707	193	SRR6267782
14.251034007352942	254	SRR6267783
14.268956801470589	200	SRR6267784
16.168658088235293	370	SRR6267786
13.287339154411764	152	SRR6267787
13.944967830882353	182	SRR6267789
8.92084099264706	65	SRR6267790
14.530790441176471	252	SRR6267793
11.107077205882353	100	SRR6267794
14.62890625	281	SRR6267797
13.749195772058824	209	SRR6267798
13.600183823529411	179	SRR6267799
11.273782169117647	118	SRR6267800
14.51171875	214	SRR6267801
11.492761948529411	87	SRR6267802
13.472541360294118	162	SRR6267803
14.800321691176471	236	SRR6267804
13.759420955882353	185	SRR6267805
16.053653492647058	336	SRR6267809
13.451976102941176	166	SRR6267811
12.279411764705882	159	SRR6267812
11.909352022058824	121	SRR6267813
12.920381433823529	170	SRR6267814
13.263671875	161	SRR6267815
13.3984375	209	SRR6267817
11.570542279411764	158	SRR6267818
14.391314338235293	205	SRR6267819
