PD	SR	SampleID	X.SampleID
14.57853881278539	216	SRR6267379	SRR6267379
13.933333333333335	142	SRR6267380	SRR6267380
13.736438356164385	149	SRR6267381	SRR6267381
15.43570776255708	223	SRR6267382	SRR6267382
15.688493150684932	289	SRR6267383	SRR6267383
14.894520547945206	187	SRR6267384	SRR6267384
15.122100456621006	201	SRR6267385	SRR6267385
13.078173515981737	140	SRR6267386	SRR6267386
13.649589041095892	101	SRR6267387	SRR6267387
14.835159817351599	210	SRR6267388	SRR6267388
15.022191780821919	242	SRR6267389	SRR6267389
15.358082191780824	261	SRR6267390	SRR6267390
15.042648401826485	223	SRR6267391	SRR6267391
15.426118721461188	328	SRR6267392	SRR6267392
14.925936073059361	153	SRR6267393	SRR6267393
15.044840182648402	266	SRR6267394	SRR6267394
14.901187214611873	241	SRR6267395	SRR6267395
13.346392694063928	142	SRR6267396	SRR6267396
13.20730593607306	132	SRR6267397	SRR6267397
16.686301369863013	358	SRR6267398	SRR6267398
14.277534246575344	173	SRR6267399	SRR6267399
12.294063926940641	93	SRR6267400	SRR6267400
14.965570776255708	197	SRR6267401	SRR6267401
13.089771689497718	128	SRR6267402	SRR6267402
13.50502283105023	130	SRR6267403	SRR6267403
15.674520547945207	207	SRR6267404	SRR6267404
13.411415525114156	141	SRR6267405	SRR6267405
15.758447488584476	215	SRR6267406	SRR6267406
15.222648401826484	217	SRR6267407	SRR6267407
14.822922374429226	174	SRR6267408	SRR6267408
14.18474885844749	182	SRR6267409	SRR6267409
14.944931506849317	271	SRR6267410	SRR6267410
14.09260273972603	190	SRR6267411	SRR6267411
14.658082191780823	174	SRR6267412	SRR6267412
14.582922374429225	175	SRR6267413	SRR6267413
13.815890410958906	156	SRR6267414	SRR6267414
14.75013698630137	189	SRR6267415	SRR6267415
14.87881278538813	232	SRR6267416	SRR6267416
9.725296803652968	80	SRR6267417	SRR6267417
15.451050228310503	229	SRR6267418	SRR6267418
14.392146118721461	172	SRR6267419	SRR6267419
14.790136986301372	179	SRR6267420	SRR6267420
14.302009132420093	232	SRR6267421	SRR6267421
14.675342465753426	236	SRR6267422	SRR6267422
12.772420091324202	128	SRR6267423	SRR6267423
14.95488584474886	268	SRR6267424	SRR6267424
14.273698630136987	196	SRR6267425	SRR6267425
14.45296803652968	222	SRR6267426	SRR6267426
14.443013698630137	191	SRR6267427	SRR6267427
14.95488584474886	237	SRR6267428	SRR6267428
13.274977168949773	140	SRR6267429	SRR6267429
15.74191780821918	256	SRR6267430	SRR6267430
15.13799086757991	230	SRR6267431	SRR6267431
15.452876712328768	219	SRR6267432	SRR6267432
14.299178082191782	202	SRR6267433	SRR6267433
16.215707762557077	245	SRR6267434	SRR6267434
14.379178082191782	176	SRR6267435	SRR6267435
16.406666666666666	318	SRR6267436	SRR6267436
13.018904109589043	184	SRR6267437	SRR6267437
15.581552511415525	301	SRR6267438	SRR6267438
14.878082191780823	178	SRR6267439	SRR6267439
15.18164383561644	202	SRR6267440	SRR6267440
17.30401826484018	337	SRR6267441	SRR6267441
15.170319634703198	207	SRR6267442	SRR6267442
15.299634703196348	210	SRR6267443	SRR6267443
11.726484018264841	100	SRR6267444	SRR6267444
13.6351598173516	140	SRR6267445	SRR6267445
15.808401826484019	216	SRR6267446	SRR6267446
13.466666666666669	127	SRR6267447	SRR6267447
14.266575342465755	200	SRR6267448	SRR6267448
13.429406392694066	122	SRR6267449	SRR6267449
10.938264840182649	92	SRR6267450	SRR6267450
14.01716894977169	156	SRR6267451	SRR6267451
13.619908675799088	181	SRR6267452	SRR6267452
10.781187214611874	96	SRR6267453	SRR6267453
16.958904109589042	233	SRR6267454	SRR6267454
11.593607305936075	102	SRR6267455	SRR6267455
14.43013698630137	150	SRR6267456	SRR6267456
13.05543378995434	154	SRR6267457	SRR6267457
15.77205479452055	283	SRR6267458	SRR6267458
14.335616438356166	160	SRR6267459	SRR6267459
12.364109589041098	113	SRR6267460	SRR6267460
14.230228310502284	210	SRR6267461	SRR6267461
15.336986301369864	221	SRR6267462	SRR6267462
14.209771689497718	163	SRR6267463	SRR6267463
14.499726027397262	164	SRR6267464	SRR6267464
12.955616438356165	118	SRR6267465	SRR6267465
15.097808219178082	210	SRR6267466	SRR6267466
14.50191780821918	161	SRR6267467	SRR6267467
14.16420091324201	178	SRR6267468	SRR6267468
13.083013698630138	150	SRR6267469	SRR6267469
13.411141552511417	146	SRR6267470	SRR6267470
14.65771689497717	300	SRR6267471	SRR6267471
15.237534246575343	246	SRR6267472	SRR6267472
13.561278538812786	123	SRR6267473	SRR6267473
15.001552511415527	161	SRR6267474	SRR6267474
15.460730593607307	195	SRR6267475	SRR6267475
15.390593607305938	230	SRR6267476	SRR6267476
15.69041095890411	256	SRR6267477	SRR6267477
14.152602739726028	189	SRR6267478	SRR6267478
10.02958904109589	103	SRR6267479	SRR6267479
14.348036529680366	175	SRR6267480	SRR6267480
14.088036529680366	165	SRR6267481	SRR6267481
14.585205479452055	163	SRR6267482	SRR6267482
14.12109589041096	198	SRR6267483	SRR6267483
14.922557077625571	216	SRR6267484	SRR6267484
12.842922374429225	141	SRR6267485	SRR6267485
15.465022831050229	256	SRR6267486	SRR6267486
16.783105022831048	307	SRR6267487	SRR6267487
15.620000000000001	207	SRR6267488	SRR6267488
14.010776255707764	228	SRR6267489	SRR6267489
11.242283105022832	104	SRR6267490	SRR6267490
13.68867579908676	130	SRR6267491	SRR6267491
15.427579908675801	205	SRR6267492	SRR6267492
15.269497716894978	215	SRR6267493	SRR6267493
15.361278538812787	258	SRR6267494	SRR6267494
12.683378995433792	177	SRR6267495	SRR6267495
14.51771689497717	192	SRR6267496	SRR6267496
12.977260273972604	108	SRR6267497	SRR6267497
15.819086757990869	251	SRR6267498	SRR6267498
14.493698630136988	160	SRR6267499	SRR6267499
17.035433789954336	341	SRR6267500	SRR6267500
15.24557077625571	211	SRR6267501	SRR6267501
14.530867579908676	200	SRR6267502	SRR6267502
13.544383561643837	130	SRR6267503	SRR6267503
13.500000000000002	227	SRR6267504	SRR6267504
14.076529680365297	164	SRR6267505	SRR6267505
14.96054794520548	167	SRR6267506	SRR6267506
13.982922374429224	148	SRR6267507	SRR6267507
14.23095890410959	191	SRR6267508	SRR6267508
13.011324200913243	128	SRR6267509	SRR6267509
14.49150684931507	182	SRR6267510	SRR6267510
15.639086757990869	258	SRR6267511	SRR6267511
13.112876712328768	137	SRR6267512	SRR6267512
15.540182648401828	210	SRR6267513	SRR6267513
14.331050228310504	174	SRR6267514	SRR6267514
15.345479452054796	212	SRR6267515	SRR6267515
15.500456621004567	215	SRR6267516	SRR6267516
14.614155251141554	185	SRR6267517	SRR6267517
15.94867579908676	260	SRR6267518	SRR6267518
13.690319634703197	158	SRR6267519	SRR6267519
14.205844748858448	173	SRR6267520	SRR6267520
12.309863013698632	91	SRR6267521	SRR6267521
12.542009132420091	97	SRR6267522	SRR6267522
15.904109589041097	298	SRR6267523	SRR6267523
14.559086757990869	192	SRR6267524	SRR6267524
12.734155251141553	123	SRR6267525	SRR6267525
13.48785388127854	116	SRR6267526	SRR6267526
14.528036529680366	161	SRR6267527	SRR6267527
15.003561643835617	224	SRR6267528	SRR6267528
12.248219178082193	157	SRR6267529	SRR6267529
13.309497716894978	141	SRR6267530	SRR6267530
16.27415525114155	302	SRR6267531	SRR6267531
15.198995433789955	218	SRR6267532	SRR6267532
15.581278538812786	244	SRR6267533	SRR6267533
14.975433789954339	218	SRR6267534	SRR6267534
15.021552511415527	222	SRR6267535	SRR6267535
14.646210045662102	176	SRR6267536	SRR6267536
15.675799086757992	230	SRR6267537	SRR6267537
15.268493150684932	269	SRR6267538	SRR6267538
16.290593607305937	338	SRR6267539	SRR6267539
12.488036529680366	102	SRR6267540	SRR6267540
14.760273972602741	229	SRR6267541	SRR6267541
16.325662100456622	311	SRR6267542	SRR6267542
15.988584474885846	227	SRR6267543	SRR6267543
15.743013698630138	279	SRR6267544	SRR6267544
8.573515981735161	78	SRR6267545	SRR6267545
16.369406392694064	323	SRR6267546	SRR6267546
15.850776255707764	261	SRR6267547	SRR6267547
13.298721461187215	131	SRR6267548	SRR6267548
15.957899543378996	234	SRR6267549	SRR6267549
9.578812785388129	59	SRR6267550	SRR6267550
11.359086757990868	106	SRR6267551	SRR6267551
15.727762557077627	182	SRR6267552	SRR6267552
15.348310502283105	207	SRR6267553	SRR6267553
14.109406392694066	163	SRR6267554	SRR6267554
12.616438356164384	113	SRR6267555	SRR6267555
12.870593607305937	149	SRR6267556	SRR6267556
12.732694063926942	89	SRR6267557	SRR6267557
14.966666666666669	171	SRR6267558	SRR6267558
13.970867579908678	161	SRR6267559	SRR6267559
13.429041095890412	158	SRR6267560	SRR6267560
12.936986301369863	101	SRR6267561	SRR6267561
13.65433789954338	130	SRR6267562	SRR6267562
16.144931506849314	261	SRR6267563	SRR6267563
15.662100456621005	300	SRR6267564	SRR6267564
15.405388127853882	204	SRR6267565	SRR6267565
12.98703196347032	121	SRR6267566	SRR6267566
14.039817351598174	136	SRR6267567	SRR6267567
14.235616438356166	153	SRR6267568	SRR6267568
15.139178082191782	261	SRR6267569	SRR6267569
16.43552511415525	351	SRR6267570	SRR6267570
15.114155251141554	258	SRR6267571	SRR6267571
11.658173515981737	88	SRR6267572	SRR6267572
15.515890410958905	260	SRR6267573	SRR6267573
13.479178082191781	144	SRR6267574	SRR6267574
13.353333333333335	136	SRR6267575	SRR6267575
15.358447488584476	213	SRR6267576	SRR6267576
12.04027397260274	116	SRR6267577	SRR6267577
14.571872146118723	202	SRR6267578	SRR6267578
12.828767123287673	118	SRR6267579	SRR6267579
15.252876712328769	190	SRR6267580	SRR6267580
14.916347031963472	140	SRR6267581	SRR6267581
14.634063926940641	162	SRR6267582	SRR6267582
15.856164383561644	274	SRR6267583	SRR6267583
13.315342465753426	139	SRR6267584	SRR6267584
15.641826484018265	254	SRR6267585	SRR6267585
14.782648401826485	185	SRR6267586	SRR6267586
14.90337899543379	200	SRR6267587	SRR6267587
15.657351598173516	253	SRR6267588	SRR6267588
16.273150684931505	204	SRR6267589	SRR6267589
14.229223744292238	155	SRR6267590	SRR6267590
13.869315068493151	181	SRR6267591	SRR6267591
11.766575342465755	114	SRR6267592	SRR6267592
14.249589041095891	156	SRR6267593	SRR6267593
15.471963470319636	212	SRR6267594	SRR6267594
15.422557077625571	220	SRR6267595	SRR6267595
14.678995433789956	226	SRR6267596	SRR6267596
14.948493150684932	168	SRR6267597	SRR6267597
16.112785388127854	245	SRR6267598	SRR6267598
14.373515981735162	178	SRR6267599	SRR6267599
14.988310502283106	215	SRR6267600	SRR6267600
14.641461187214613	193	SRR6267601	SRR6267601
16.099908675799085	291	SRR6267602	SRR6267602
14.000182648401827	150	SRR6267603	SRR6267603
15.429315068493151	262	SRR6267604	SRR6267604
14.751141552511417	256	SRR6267605	SRR6267605
12.09068493150685	126	SRR6267606	SRR6267606
15.712511415525116	208	SRR6267607	SRR6267607
15.503013698630138	289	SRR6267608	SRR6267608
12.264566210045663	96	SRR6267609	SRR6267609
14.831415525114156	238	SRR6267610	SRR6267610
14.272511415525114	167	SRR6267611	SRR6267611
15.76986301369863	274	SRR6267612	SRR6267612
12.28812785388128	111	SRR6267613	SRR6267613
15.228675799086759	226	SRR6267614	SRR6267614
15.578721461187216	290	SRR6267615	SRR6267615
14.784840182648402	197	SRR6267616	SRR6267616
14.273607305936075	167	SRR6267617	SRR6267617
15.508584474885845	247	SRR6267618	SRR6267618
12.918173515981737	154	SRR6267619	SRR6267619
16.309497716894978	332	SRR6267620	SRR6267620
14.391415525114157	218	SRR6267621	SRR6267621
13.851324200913243	251	SRR6267622	SRR6267622
14.634794520547945	145	SRR6267623	SRR6267623
11.106575342465753	106	SRR6267624	SRR6267624
12.488675799086758	123	SRR6267625	SRR6267625
12.262922374429225	111	SRR6267626	SRR6267626
15.89771689497717	235	SRR6267627	SRR6267627
11.113333333333335	115	SRR6267628	SRR6267628
15.1151598173516	185	SRR6267629	SRR6267629
16.57634703196347	325	SRR6267630	SRR6267630
15.073059360730594	219	SRR6267631	SRR6267631
11.789406392694065	117	SRR6267632	SRR6267632
10.03908675799087	69	SRR6267633	SRR6267633
9.109680365296805	70	SRR6267634	SRR6267634
14.687945205479453	204	SRR6267635	SRR6267635
15.628493150684932	234	SRR6267636	SRR6267636
14.336073059360732	178	SRR6267637	SRR6267637
16.67461187214612	319	SRR6267638	SRR6267638
16.54	312	SRR6267639	SRR6267639
16.179360730593608	240	SRR6267640	SRR6267640
13.83095890410959	132	SRR6267641	SRR6267641
16.759908675799085	349	SRR6267642	SRR6267642
13.19716894977169	113	SRR6267643	SRR6267643
13.021826484018266	150	SRR6267644	SRR6267644
10.56420091324201	80	SRR6267645	SRR6267645
14.326118721461189	210	SRR6267646	SRR6267646
15.038173515981736	199	SRR6267647	SRR6267647
14.580730593607306	164	SRR6267648	SRR6267648
15.176073059360732	224	SRR6267649	SRR6267649
14.859086757990868	163	SRR6267650	SRR6267650
13.693059360730595	158	SRR6267651	SRR6267651
14.158904109589042	205	SRR6267652	SRR6267652
15.558082191780823	235	SRR6267653	SRR6267653
13.014977168949773	145	SRR6267654	SRR6267654
16.464657534246573	305	SRR6267655	SRR6267655
16.172237442922373	299	SRR6267656	SRR6267656
14.184383561643836	204	SRR6267657	SRR6267657
15.518447488584476	234	SRR6267658	SRR6267658
13.730228310502284	183	SRR6267659	SRR6267659
14.522191780821919	210	SRR6267660	SRR6267660
15.639360730593609	257	SRR6267661	SRR6267661
14.333607305936074	199	SRR6267662	SRR6267662
14.87178082191781	182	SRR6267663	SRR6267663
15.021826484018266	239	SRR6267664	SRR6267664
13.686210045662103	146	SRR6267665	SRR6267665
10.72420091324201	131	SRR6267666	SRR6267666
14.663013698630138	210	SRR6267667	SRR6267667
14.654520547945207	213	SRR6267668	SRR6267668
14.363196347031964	199	SRR6267669	SRR6267669
14.85433789954338	216	SRR6267670	SRR6267670
14.413333333333334	191	SRR6267671	SRR6267671
13.906301369863014	176	SRR6267672	SRR6267672
13.886392694063929	170	SRR6267673	SRR6267673
13.313789954337901	186	SRR6267674	SRR6267674
15.260913242009133	203	SRR6267675	SRR6267675
13.68474885844749	147	SRR6267676	SRR6267676
13.404109589041097	99	SRR6267677	SRR6267677
14.046575342465754	192	SRR6267678	SRR6267678
15.742465753424659	247	SRR6267679	SRR6267679
12.93461187214612	126	SRR6267680	SRR6267680
15.286666666666667	221	SRR6267681	SRR6267681
10.885936073059362	69	SRR6267682	SRR6267682
15.551415525114157	207	SRR6267683	SRR6267683
14.957260273972604	241	SRR6267684	SRR6267684
14.741187214611873	226	SRR6267685	SRR6267685
14.95826484018265	201	SRR6267686	SRR6267686
15.45178082191781	233	SRR6267687	SRR6267687
14.096073059360732	188	SRR6267688	SRR6267688
14.67095890410959	215	SRR6267689	SRR6267689
15.237260273972604	218	SRR6267690	SRR6267690
13.382374429223745	164	SRR6267691	SRR6267691
14.482739726027399	210	SRR6267692	SRR6267692
14.61771689497717	193	SRR6267693	SRR6267693
15.312420091324203	196	SRR6267694	SRR6267694
14.641735159817353	215	SRR6267695	SRR6267695
14.932785388127854	247	SRR6267696	SRR6267696
15.228219178082194	212	SRR6267697	SRR6267697
14.408219178082193	186	SRR6267698	SRR6267698
14.628767123287671	197	SRR6267699	SRR6267699
13.927762557077626	162	SRR6267700	SRR6267700
14.21150684931507	188	SRR6267701	SRR6267701
15.41406392694064	217	SRR6267702	SRR6267702
15.502922374429225	230	SRR6267703	SRR6267703
15.705570776255708	231	SRR6267704	SRR6267704
16.53917808219178	337	SRR6267705	SRR6267705
14.712602739726028	173	SRR6267706	SRR6267706
13.89881278538813	137	SRR6267707	SRR6267707
15.451872146118722	238	SRR6267708	SRR6267708
16.41917808219178	329	SRR6267709	SRR6267709
13.731598173515984	132	SRR6267710	SRR6267710
14.64365296803653	180	SRR6267711	SRR6267711
14.792328767123289	247	SRR6267712	SRR6267712
14.166301369863016	198	SRR6267713	SRR6267713
14.363378995433791	171	SRR6267714	SRR6267714
15.457808219178084	242	SRR6267715	SRR6267715
14.284018264840183	205	SRR6267716	SRR6267716
15.138173515981736	232	SRR6267717	SRR6267717
14.293150684931508	142	SRR6267718	SRR6267718
16.02986301369863	310	SRR6267719	SRR6267719
16.297077625570775	304	SRR6267720	SRR6267720
14.433333333333335	179	SRR6267721	SRR6267721
14.71662100456621	203	SRR6267722	SRR6267722
14.359269406392695	150	SRR6267723	SRR6267723
15.64219178082192	230	SRR6267724	SRR6267724
14.020365296803654	163	SRR6267725	SRR6267725
14.170319634703198	170	SRR6267726	SRR6267726
16.07050228310502	248	SRR6267727	SRR6267727
16.95296803652968	278	SRR6267728	SRR6267728
12.400639269406394	138	SRR6267729	SRR6267729
15.102739726027398	172	SRR6267730	SRR6267730
15.737808219178083	231	SRR6267731	SRR6267731
15.756894977168951	219	SRR6267732	SRR6267732
13.776438356164384	170	SRR6267733	SRR6267733
15.571872146118723	243	SRR6267734	SRR6267734
15.08191780821918	184	SRR6267735	SRR6267735
12.53716894977169	113	SRR6267736	SRR6267736
13.100000000000001	122	SRR6267737	SRR6267737
12.978173515981736	127	SRR6267738	SRR6267738
