name	degree	betweenness_centrality	closeness_centrality	eigenvector_centrality	Abundance	module	z	p	taxa_roles	Kingdom	Phylum	Class	Order	Family	Genus
Segatella	1	0	2.6479232345625587	0	8.789959199965928	M10	NA	NA	NA	k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Segatella
Gemmiger	7	42	0.01081710132260123	0.20568485820970558	4.475578235147728	M1	0.03509232000884517	0.40816326530612246	Peripheral nodes	k__Bacteria	p__Bacillota	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Gemmiger
Bifidobacterium	3	0	0.010088353738732509	0.07292689877019481	3.0234476116791376	M2	-0.6283066979480683	0.4444444444444444	Peripheral nodes	k__Bacteria	p__Actinomycetota	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Bifidobacterium
UCG-002	22	353	0.011685728513162867	1	3.0144540747058444	M4	1.7283042083133509	0.6776859504132231	Connectors	k__Bacteria	p__Bacillota	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__UCG-002
Christensenellaceae_R-7_group	15	186	0.011127020545736208	0.6559506539650456	2.904190847430541	M1	0.3275283200825546	0.6133333333333333	Peripheral nodes	k__Bacteria	p__Bacillota	c__Clostridia	o__Christensenellales	f__Christensenellaceae	g__Christensenellaceae_R-7_group
Bacteroides	15	189	0.00961645566257617	0.4730230933422843	2.7754125499088502	M3	1.9841528036363876	0	Peripheral nodes	k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides
Methanobrevibacter	6	6	0.009787748688587594	0.41745216475281405	2.549746931373505	M1	-0.5497796801385738	0.5	Peripheral nodes	k__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobrevibacter
Collinsella	5	4	0.010100219086202391	0.08970593829665756	2.322884521225275	M2	-0.2984456815253324	0.48	Peripheral nodes	k__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella
Clostridium	1	0	1.8618986824128059	1.2128946412247067e-17	2.0412160951576053	M8	NA	NA	NA	k__Bacteria	p__Bacillota	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium
Blautia	22	1159	0.013208618164212647	0.3115009859372435	2.006720336903879	M2	3.330025499124762	0.5454545454545454	Module hubs	k__Bacteria	p__Bacillota	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia
Streptococcus	11	316	0.010038567374296004	0.08778987359671837	1.7367206290618313	M1	1.4972723203773926	0.1652892561983471	Peripheral nodes	k__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
Faecalibacterium	7	250	0.010616720038318346	0.08704573172086193	1.7019784725348646	M2	0.36127635132013936	0.44897959183673475	Peripheral nodes	k__Bacteria	p__Bacillota	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium
Dorea	6	4	0.009245560717275609	0.12060077243774205	1.6210894394052087	M2	0.6911373677428753	0	Peripheral nodes	k__Bacteria	p__Bacillota	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Dorea
Agathobacter	7	63	0.010756577444013185	0.12435694388324305	1.517830963040611	M2	0.36127635132013936	0.44897959183673475	Peripheral nodes	k__Bacteria	p__Bacillota	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Agathobacter
Adlercreutzia	12	232	0.010968416730128364	0.3930125785873345	1.2919365461086847	M1	1.4972723203773926	0.2777777777777778	Peripheral nodes	k__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__Adlercreutzia
Holdemanella	6	15	0.00873742541284468	0.12953553990715447	1.0837476050967834	M1	0.3275283200825546	0	Peripheral nodes	k__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Holdemanella
Catenibacterium	2	0	0.0078182470010236	0.02859946376891618	1.0385687217103983	M1	-0.8422156802122832	0	Peripheral nodes	k__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelatoclostridiaceae	g__Catenibacterium
Romboutsia	1	0	1.8618986824128059	2.7473316849431237e-18	0.9864906866732679	M8	NA	NA	NA	k__Bacteria	p__Bacillota	c__Clostridia	o__Peptostreptococcales-Tissierellales	f__Peptostreptococcaceae	g__Romboutsia
Ruminococcus	3	43	0.009521590356834784	0.10922918643131364	0.8425764952239215	M2	-0.9581677143708042	0.6666666666666667	Connectors	k__Bacteria	p__Bacillota	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus
Monoglobus	6	424	0.011951763802218091	0.239835094118134	0.7597338757849985	M3	-0.8368535634384765	0.5	Peripheral nodes	k__Bacteria	p__Bacillota	c__Clostridia	o__Monoglobales	f__Monoglobaceae	g__Monoglobus
Leyella	1	0	2.6479232345625587	1.6057610455186304e-18	0.6053301578462538	M10	NA	NA	NA	k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Leyella
NK4A214_group	21	288	0.011655602864242302	0.9720490646368296	0.5961782219830203	M4	1.4162492818123291	0.6757369614512472	Connectors	k__Bacteria	p__Bacillota	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__NK4A214_group
Roseburia	15	461	0.011608881536943259	0.4949320697872119	0.5746535728277615	M3	-0.06748819059987723	0.6666666666666667	Connectors	k__Bacteria	p__Bacillota	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Roseburia
Haemophilus	2	0	0.007614775445834549	0.007042056864768983	0.5607144705129906	M1	-0.8422156802122832	0	Peripheral nodes	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Pasteurellaceae	g__Haemophilus
Alistipes	15	115	0.009294252794356405	0.4424212444714807	0.5109420193183286	M3	1.4712425550773214	0.24	Peripheral nodes	k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes
Lachnospiraceae_NK4A136_group	1	0	0.007774434903680469	0.006521573870111828	0.5010156888820523	M2	-0.9581677143708042	0	Peripheral nodes	k__Bacteria	p__Bacillota	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnospiraceae_NK4A136_group
Mediterraneibacter	7	37	0.010453291726502372	0.14115025803458225	0.4666079300116264	M2	0.6911373677428753	0.24489795918367352	Peripheral nodes	k__Bacteria	p__Bacillota	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Mediterraneibacter
Coprococcus	12	101	0.011755054820719252	0.4674366345787333	0.4609935693570659	M2	0.6911373677428753	0.625	Connectors	k__Bacteria	p__Bacillota	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Coprococcus
Parabacteroides	14	105	0.0096752726116527	0.5220711147819168	0.39450123533534276	M3	1.4712425550773214	0.13265306122448983	Peripheral nodes	k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides
Senegalimassilia	10	289	0.010534382556709306	0.26175146510103653	0.3845749048990665	M1	1.2048363203036832	0.18000000000000005	Peripheral nodes	k__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__Senegalimassilia
Enterococcus	1	0	0.006440223033214574	0.0010611107404515053	0.3820053229066971	M1	-1.1346516802859927	0	Peripheral nodes	k__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus
Slackia	5	21	0.009392907572664875	0.07887325847049516	0.37515897088593203	M1	-0.2573436800648643	0.31999999999999995	Peripheral nodes	k__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__Slackia
UCG-005	21	311	0.011465787754539826	0.9303809745617262	0.37496537224267135	M4	1.7283042083133509	0.6621315192743764	Connectors	k__Bacteria	p__Bacillota	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__UCG-005
Lachnospiraceae_NK3A20_group	2	0	0.4791078167265944	0	0.34921675268899716	M6	0	0	Peripheral nodes	k__Bacteria	p__Bacillota	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnospiraceae_NK3A20_group
Phascolarctobacterium	2	0	0.008621098457505172	0.07575877334761062	0.3452567804404827	M3	-1.3497638119975428	0	Peripheral nodes	k__Bacteria	p__Bacillota	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Phascolarctobacterium
Howardella	4	0	0.008954143570026477	0.07730284971499021	0.2914011578606857	M1	-0.2573436800648643	0	Peripheral nodes	k__Bacteria	p__Bacillota	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Howardella
Ruthenibacterium	14	102	0.009944317662071421	0.45820871229963456	0.2662333342367937	M3	1.7276976793568546	0	Peripheral nodes	k__Bacteria	p__Bacillota	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruthenibacterium
