feature	method	group1	group2	p_values	log2FoldChange	p_adjust	adj_method	pathway_name	pathway_description	pathway_class	pathway_map
ko:K00670	edgeR	low	high	1.013041489527253e-16	4.393847158125584	1.8065172475200123e-14	BH	N-alpha-acetyltransferase 30	NA	Brite Hierarchies; Protein families: genetic information processing	NA
ko:K00771	edgeR	low	high	8.720645026876634e-16	4.4235422124359385	1.4307090231093806e-13	BH	protein xylosyltransferase	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate; Glycosaminoglycan biosynthesis - heparan sulfate / heparin; Metabolic pathways	Metabolism; Glycan biosynthesis and metabolism	map00532; map00534; map01100
ko:K01459	edgeR	low	high	6.861840491335636e-25	5.446717117388007	3.7525118366950816e-22	BH	N-carbamoyl-D-amino-acid hydrolase	NA	Unclassified: metabolism	NA
ko:K04708	edgeR	low	high	4.491351473689534e-14	4.102231498982484	5.668085559796192e-12	BH	3-dehydrosphinganine reductase	Sphingolipid metabolism; Metabolic pathways; Cornified envelope formation	Metabolism; Lipid metabolism	map00600; map01100; map04382
ko:K05929	edgeR	low	high	1.013041489527253e-16	4.393847158125584	1.8065172475200123e-14	BH	phosphoethanolamine N-methyltransferase	Glycerophospholipid metabolism	Metabolism; Lipid metabolism	map00564
ko:K06349	edgeR	low	high	1.8214618082072259e-22	4.918181575654935	8.789088948661102e-20	BH	KinB signaling pathway activation protein	NA	Unclassified: signaling and cellular processes	NA
ko:K08356	edgeR	low	high	1.1400848136604204e-25	5.536660944834359	6.75212893509663e-23	BH	arsenite oxidase large subunit	NA	Brite Hierarchies; Protein families: signaling and cellular processes	NA
ko:K08691	edgeR	low	high	1.4488491347064337e-19	4.463353236283405	4.9520456049986986e-17	BH	malyl-CoA/(S)-citramalyl-CoA lyase	Glyoxylate and dicarboxylate metabolism; C5-Branched dibasic acid metabolism; Methane metabolism; Other carbon fixation pathways; Metabolic pathways; Microbial metabolism in diverse environments; Carbon metabolism	Metabolism; Carbohydrate metabolism	map00630; map00660; map00680; map00720; map01100; map01120; map01200
ko:K09584	edgeR	low	high	4.428600746582863e-18	4.806318456318708	1.0091058867838674e-15	BH	protein disulfide-isomerase A6	Protein processing in endoplasmic reticulum	Genetic Information Processing; Folding, sorting and degradation	map04141
ko:K10219	edgeR	low	high	3.434665426288488e-20	4.490557598081054	1.2249808909497595e-17	BH	2-hydroxy-4-carboxymuconate semialdehyde hemiacetal dehydrogenase	Tyrosine metabolism; Benzoate degradation; Aminobenzoate degradation; Metabolic pathways; Microbial metabolism in diverse environments; Degradation of aromatic compounds	Metabolism; Amino acid metabolism	map00350; map00362; map00627; map01100; map01120; map01220
ko:K11356	edgeR	low	high	4.214366391901906e-21	5.545392573896064	1.6462117863224444e-18	BH	two-component system, sensor histidine kinase and response regulator	Two-component system	Environmental Information Processing; Signal transduction	map02020
ko:K11623	edgeR	low	high	2.5760416338448533e-21	4.739973608650955	1.0665657605721185e-18	BH	two-component system, NarL family, sensor histidine kinase YdfH	Two-component system	Environmental Information Processing; Signal transduction	map02020
ko:K14165	edgeR	low	high	1.152380898346371e-25	5.535859782653243	6.75212893509663e-23	BH	atypical dual specificity phosphatase	NA	Brite Hierarchies; Protein families: metabolism	NA
ko:K15893	edgeR	low	high	5.770955109532807e-17	4.4353787800450934	1.1009103433371537e-14	BH	glycerate dehydrogenase	Glycine, serine and threonine metabolism; Glyoxylate and dicarboxylate metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism	Metabolism; Carbohydrate metabolism	map00260; map00630; map01100; map01110; map01120; map01200
ko:K17227	edgeR	low	high	6.89056833989946e-26	5.5697099136056565	5.138484735654116e-23	BH	sulfur-oxidizing protein SoxZ	Sulfur metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Sulfur cycle	Metabolism; Energy metabolism	map00920; map01100; map01120; map01320
ko:K17807	edgeR	low	high	4.428600746582863e-18	4.806318456318708	1.0091058867838674e-15	BH	mitochondrial translocator assembly and maintenance protein 41	NA	Brite Hierarchies; Protein families: genetic information processing	NA
ko:K17829	edgeR	low	high	5.150986032127303e-17	4.4439177648784005	1.006036629084292e-14	BH	crotonyl-CoA reductase	Butanoate metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism	Metabolism; Carbohydrate metabolism	map00650; map01100; map01110; map01120; map01200
ko:K18974	edgeR	low	high	5.2390200740516475e-21	4.897323241234765	1.9534400757929847e-18	BH	dihydropteroate synthase type 1	Folate biosynthesis; Metabolic pathways	Metabolism; Metabolism of cofactors and vitamins	map00790; map01100
ko:K20882	edgeR	low	high	2.6004285275438706e-21	4.7536030649666445	1.0665657605721185e-18	BH	(R)-2-hydroxy-4-methylpentanoate CoA-transferase	NA	Unclassified: metabolism	NA
