feature	method	group1	group2	p_values	log2FoldChange	p_adjust	adj_method	pathway_name	pathway_description	pathway_class	pathway_map
ko:K00670	edgeR	low	high	1.0346286590903692e-27	-4.150826537501481	3.857754041144681e-25	BH	N-alpha-acetyltransferase 30	NA	Brite Hierarchies; Protein families: genetic information processing	NA
ko:K05929	edgeR	low	high	1.0346286590903692e-27	-4.150826537501481	3.857754041144681e-25	BH	phosphoethanolamine N-methyltransferase	Glycerophospholipid metabolism	Metabolism; Lipid metabolism	map00564
ko:K07544	edgeR	low	high	9.656094136392012e-17	4.021412753062041	8.250931270919133e-15	BH	benzylsuccinate CoA-transferase BbsF subunit	Toluene degradation; Metabolic pathways; Microbial metabolism in diverse environments; Degradation of aromatic compounds	Metabolism; Xenobiotics biodegradation and metabolism	map00623; map01100; map01120; map01220
ko:K12053	edgeR	low	high	2.8158423416124047e-28	-4.139966637204656	1.1549177364123277e-25	BH	ComB4 competence protein	NA	Brite Hierarchies; Protein families: signaling and cellular processes	NA
ko:K12679	edgeR	low	high	9.006953877042884e-94	-8.510055862943007	7.388404265338277e-90	BH	outer membrane protein IcsA	Shigellosis	Human Diseases; Infectious disease: bacterial	map05131
ko:K14750	edgeR	low	high	6.587947590587332e-34	-4.160419716376155	6.004548231731987e-31	BH	ethylbenzene dioxygenase ferredoxin component	Ethylbenzene degradation; Metabolic pathways; Degradation of aromatic compounds	Metabolism; Xenobiotics biodegradation and metabolism	map00642; map01100; map01220
ko:K15845	edgeR	low	high	9.529062950881804e-41	-5.198063239646318	2.6055634462027815e-37	BH	outer membrane protein HopZ	Epithelial cell signaling in Helicobacter pylori infection	Human Diseases; Infectious disease: bacterial	map05120
ko:K15846	edgeR	low	high	2.8158423416124047e-28	-4.139966637204656	1.1549177364123277e-25	BH	neuraminyllactose-binding hemagglutinin	Epithelial cell signaling in Helicobacter pylori infection	Human Diseases; Infectious disease: bacterial	map05120
ko:K15847	edgeR	low	high	2.4369527781053443e-46	-5.567583073903914	9.995161819399069e-43	BH	outer membrane protein BabA	Epithelial cell signaling in Helicobacter pylori infection	Human Diseases; Infectious disease: bacterial	map05120
ko:K15848	edgeR	low	high	9.649981774978228e-37	-4.7908687809874415	1.1308400071449487e-33	BH	outer membrane protein SabA	Epithelial cell signaling in Helicobacter pylori infection	Human Diseases; Infectious disease: bacterial	map05120
ko:K18087	edgeR	low	high	1.2481581174440433e-37	-4.425068078027454	2.0477282074786975e-34	BH	biphenyl 2,3-dioxygenase ferredoxin component	Dioxin degradation; Metabolic pathways; Microbial metabolism in diverse environments; Degradation of aromatic compounds	Metabolism; Xenobiotics biodegradation and metabolism	map00621; map01100; map01120; map01220
ko:K18089	edgeR	low	high	1.2481581174440433e-37	-4.425068078027454	2.0477282074786975e-34	BH	benzene/toluene/chlorobenzene dioxygenase ferredoxin component	Chlorocyclohexane and chlorobenzene degradation; Benzoate degradation; Toluene degradation; Chloroalkane and chloroalkene degradation; Metabolic pathways; Microbial metabolism in diverse environments; Degradation of aromatic compounds	Metabolism; Xenobiotics biodegradation and metabolism	map00361; map00362; map00623; map00625; map01100; map01120; map01220
ko:K18767	edgeR	low	high	2.8619288955602515e-37	-4.396295927275534	3.912733788380124e-34	BH	beta-lactamase class A CTX-M	beta-Lactam resistance	Human Diseases; Drug resistance: antimicrobial	map01501
ko:K18837	edgeR	low	high	2.5589379748227276e-34	-4.080478343538704	2.623871025933854e-31	BH	cytoskeleton-binding toxin CbtA and related proteins	NA	Brite Hierarchies; Protein families: signaling and cellular processes	NA
ko:K18974	edgeR	low	high	5.467802134976744e-24	5.652091445522102	1.1500610490567751e-21	BH	dihydropteroate synthase type 1	Folate biosynthesis; Metabolic pathways	Metabolism; Metabolism of cofactors and vitamins	map00790; map01100
ko:K20331	edgeR	low	high	1.9080174249795038e-22	5.42669147688289	3.402492812414537e-20	BH	toxoflavin synthase	Quorum sensing	Cellular Processes; Cellular community - prokaryotes	map02024
